"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__lookupKey__c","LLC_BI__Action_Name__c","LLC_BI__Action_Type__c","wmx_module__c","LLC_BI__Action_Display_Name__c"
"a0D4v00000hruCqEAI","0054v00000EIZAcAAP","","Modification","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:16.000Z","0054v00000EIZAcAAP","","","","","","42681758116542686","Modify","Material Modification","","Modification"
"a0D4v00000hruCrEAI","0054v00000EIZAcAAP","","Renewal","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:16.000Z","0054v00000EIZAcAAP","","","","","","42782646065648764","Renew","Material Modification","","Renewal"
"a0D6g000000r9fGEAQ","0056g000003hlBjAAI","","PT-NonReal0808040","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","PT-NonReal0808040","","","",""
"a0D6g000000r9fHEAQ","0056g000003hlBjAAI","","PT-Consume0541007","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","PT-Consume0541007","","","",""
"a0D6g000000r9fIEAQ","0056g000003hlBjAAI","","PT-Consume0771309","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","PT-Consume0771309","","","",""
"a0D6g000000r9fJEAQ","0056g000003hlBjAAI","","KY_DM_AWSBucket","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_DM_AWSBucket","","","",""
"a0D6g000000r9fKEAQ","0056g000003hlBjAAI","","KY_DM_ReviewerRoles","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_DM_ReviewRoles","","","",""
"a0D6g000000r9fLEAQ","0056g000003hlBjAAI","","KY_GBL_NamespacePrefixBI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_GBL_NS_PrefixBI","","","",""
"a0D6g000000r9fMEAQ","0056g000003hlBjAAI","","KY_GBL_ChangeMemo","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_GBL_ChangeMemo","","","",""
"a0D6g000000r9fNEAQ","0056g000003hlBjAAI","","KY_GBL_CreditRole","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_GBL_CreditRole","","","",""
"a0D6g000000r9fOEAQ","0056g000003hlBjAAI","","KY_VER_Configuration","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","KY_VER_Config","","","",""
"a0D6g000000r9fPEAQ","0056g000003hlBjAAI","","PT-Com-RE","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","PT-Com-RE","","","",""
"a0D6g000002JztxEAC","0056g000003hlBjAAI","","PT-Lettero0655650","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","","","","","","PT-Lettero0655650","","","",""
"a0D6g000002JztyEAC","0056g000003hlBjAAI","","PT-ODP00774053229","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","","","","","","PT-ODP00774053229","","","",""
"a0D6g000002JztzEAC","0056g000003hlBjAAI","","PT-SBA03011345340","2020-04-06T15:13:54.000Z","0056g000003hlBjAAI","2020-04-06T15:13:54.000Z","0056g000003hlBjAAI","","","","","","PT-SBA03011345340","","","",""
"a0D6g000002Jzu0EAC","0056g000003hlBjAAI","","PT-Syndica0606854","2020-04-06T15:13:54.000Z","0056g000003hlBjAAI","2020-04-06T15:13:54.000Z","0056g000003hlBjAAI","","","","","","PT-Syndica0606854","","","",""
"a0D6g000002Jzu7EAC","0056g000003hlBjAAI","","PT-Constru0372475","2020-04-06T15:15:06.000Z","0056g000003hlBjAAI","2020-04-06T15:15:06.000Z","0056g000003hlBjAAI","","","","","","PT-Constru0372475","","","",""
"a0D6g000002K00ZEAS","0056g000003hlBjAAI","","PT-Guidanc0115903","2020-04-06T16:49:35.000Z","0056g000003hlBjAAI","2020-04-06T16:49:35.000Z","0056g000003hlBjAAI","","","","","","PT-Guidanc0115903","","","",""
"a0D6g000002K0cNEAS","0056g000003hlBjAAI","","PT-Constru0402911","2020-04-07T08:23:41.000Z","0056g000003hlBjAAI","2020-04-07T08:23:41.000Z","0056g000003hlBjAAI","","","","","","PT-Constru0402911","","","",""
"a0D6g000002K0cSEAS","0056g000003hlBjAAI","","PT-FloorPl0151824","2020-04-07T08:27:57.000Z","0056g000003hlBjAAI","2020-04-07T08:27:57.000Z","0056g000003hlBjAAI","","","","","","PT-FloorPl0151824","","","",""
"a0D6g000002K0cXEAS","0056g000003hlBjAAI","","PT-Indirec0973710","2020-04-07T08:32:24.000Z","0056g000003hlBjAAI","2020-04-07T08:32:24.000Z","0056g000003hlBjAAI","","","","","","PT-Indirec0973710","","","",""
"a0D6g000002K0eLEAS","0056g000003hlBjAAI","","PT-CERTIFI0681610","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-CERTIFI0681610","","","",""
"a0D6g000002K0eMEAS","0056g000003hlBjAAI","","PT-DEMANDC0981301","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-DEMANDC0981301","","","",""
"a0D6g000002K0eNEAS","0056g000003hlBjAAI","","PT-MONEYMA0949859","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-MONEYMA0949859","","","",""
"a0D6g000002K0eOEAS","0056g000003hlBjAAI","","PT-NOWCHEC0927236","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-NOWCHEC0927236","","","",""
"a0D6g000002K0ePEAS","0056g000003hlBjAAI","","PT-REVOLVI0384841","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-REVOLVI0384841","","","",""
"a0D6g000002K0eQEAS","0056g000003hlBjAAI","","PT-SAVINGS0938189","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","2020-04-07T09:30:02.000Z","0056g000003hlBjAAI","","","","","","PT-SAVINGS0938189","","","",""
"a0D6g000002K0fTEAS","0056g000003hlBjAAI","","PT-CERTIFI0957688","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","","","","","","PT-CERTIFI0957688","","","",""
"a0D6g000002K0fUEAS","0056g000003hlBjAAI","","PT-DEMANDC0719492","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","","","","","","PT-DEMANDC0719492","","","",""
"a0D6g000002K0fVEAS","0056g000003hlBjAAI","","PT-MONEYMA0662737","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","2020-04-07T09:59:28.000Z","0056g000003hlBjAAI","","","","","","PT-MONEYMA0662737","","","",""
"a0D6g000002K0fWEAS","0056g000003hlBjAAI","","PT-NOWCHEC0966265","2020-04-07T09:59:29.000Z","0056g000003hlBjAAI","2020-04-07T09:59:29.000Z","0056g000003hlBjAAI","","","","","","PT-NOWCHEC0966265","","","",""
"a0D6g000002K0fXEAS","0056g000003hlBjAAI","","PT-SAVINGS0635158","2020-04-07T09:59:29.000Z","0056g000003hlBjAAI","2020-04-07T09:59:29.000Z","0056g000003hlBjAAI","","","","","","PT-SAVINGS0635158","","","",""
