"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Reciprocal_Role__c","LLC_BI__Self_Reciprocating__c","LLC_BI__Sort_Order__c","LLC_BI__Role_Type__c","LLC_HI__Manage_Reciprocal_Involvements__c","LLC_BI__lookupKey__c","nPortal__Allows_Portal_Access__c","LLC_BI__Is_Household_Member__c","LLC_BI__Use_in_NCC__c","LLC_BI__Enable_Treasury_Maintenance_Display__c","LLC_BI__Screen_Section__c","wmx_module__c"
"a1f6g0000001hjRAAQ","0056g000003hlBjAAI","","Portal Enabled Account","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjkAAA","false","0.0","","false","a1f6g0000001hjRAAQ","false","false","false","false","",""
"a1f6g0000001hjSAAQ","0056g000003hlBjAAI","","Duplicate Account","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjkAAA","false","0.0","","false","a1f6g0000001hjSAAQ","false","false","false","false","",""
"a1f6g0000001hjTAAQ","0056g000003hlBjAAI","","Former Employer","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjfAAA","false","130.0","","false","a1f6g0000001hjTAAQ","false","false","false","false","",""
"a1f6g0000001hjUAAQ","0056g000003hlBjAAI","","Child","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjZAAQ","false","30.0","","false","a1f6g0000001hjUAAQ","false","false","false","false","",""
"a1f6g0000001hjVAAQ","0056g000003hlBjAAI","","Manager","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjWAAQ","false","250.0","","false","a1f6g0000001hjVAAQ","false","false","false","false","",""
"a1f6g0000001hjWAAQ","0056g000003hlBjAAI","","Company","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjaAAA","false","270.0","","false","a1f6g0000001hjWAAQ","false","false","false","false","",""
"a1f6g0000001hjXAAQ","0056g000003hlBjAAI","","Client","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjbAAA","false","190.0","","false","a1f6g0000001hjXAAQ","false","false","false","false","",""
"a1f6g0000001hjYAAQ","0056g000003hlBjAAI","","Household","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjeAAA","false","80.0","","true","a1f6g0000001hjYAAQ","false","false","false","false","",""
"a1f6g0000001hjZAAQ","0056g000003hlBjAAI","","Parent","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjUAAQ","false","20.0","","false","a1f6g0000001hjZAAQ","false","false","false","false","",""
"a1f6g0000001hjaAAA","0056g000003hlBjAAI","","Owner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjWAAQ","false","240.0","","false","a1f6g0000001hjaAAA","false","false","true","false","",""
"a1f6g0000001hjbAAA","0056g000003hlBjAAI","","Service Provider","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjXAAQ","false","180.0","","false","a1f6g0000001hjbAAA","false","false","false","false","",""
"a1f6g0000001hjcAAA","0056g000003hlBjAAI","","Officer","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjWAAQ","false","260.0","","false","a1f6g0000001hjcAAA","false","false","false","false","",""
"a1f6g0000001hjdAAA","0056g000003hlBjAAI","","Employee","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjhAAA","false","100.0","","false","a1f6g0000001hjdAAA","false","false","false","false","",""
"a1f6g0000001hjeAAA","0056g000003hlBjAAI","","Household Member","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjYAAQ","false","90.0","","true","a1f6g0000001hjeAAA","false","true","false","false","",""
"a1f6g0000001hjfAAA","0056g000003hlBjAAI","","Former Employee","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjTAAQ","false","120.0","","false","a1f6g0000001hjfAAA","false","false","false","false","",""
"a1f6g0000001hjgAAA","0056g000003hlBjAAI","","Co-Owner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjWAAQ","false","200.0","","false","a1f6g0000001hjgAAA","false","false","false","false","",""
"a1f6g0000001hjhAAA","0056g000003hlBjAAI","","Employer","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","a1f6g0000001hjdAAA","false","110.0","","false","a1f6g0000001hjhAAA","false","false","false","false","",""
"a1f6g0000001hjiAAA","0056g000003hlBjAAI","","Spouse","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","50.0","","false","a1f6g0000001hjiAAA","false","false","false","false","",""
"a1f6g0000001hjjAAA","0056g000003hlBjAAI","","Connection","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","10.0","","false","a1f6g0000001hjjAAA","false","false","false","false","",""
"a1f6g0000001hjkAAA","0056g000003hlBjAAI","","Original Account","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","false","0.0","","false","a1f6g0000001hjkAAA","false","false","false","false","",""
"a1f6g0000001hjlAAA","0056g000003hlBjAAI","","Beneficial Owner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","false","210.0","","false","a1f6g0000001hjlAAA","false","false","false","false","",""
"a1f6g0000001hjmAAA","0056g000003hlBjAAI","","Subsidiary","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","170.0","","false","a1f6g0000001hjmAAA","false","false","false","false","",""
"a1f6g0000001hjnAAA","0056g000003hlBjAAI","","Affiliated Company","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","280.0","","false","a1f6g0000001hjnAAA","false","false","false","false","",""
"a1f6g0000001hjoAAA","0056g000003hlBjAAI","","Sibling","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","40.0","","false","a1f6g0000001hjoAAA","false","false","false","false","",""
"a1f6g0000001hjpAAA","0056g000003hlBjAAI","","Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","140.0","","false","a1f6g0000001hjpAAA","false","false","false","false","",""
"a1f6g0000001hjqAAA","0056g000003hlBjAAI","","Colleague","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","150.0","","false","a1f6g0000001hjqAAA","false","false","false","false","",""
"a1f6g0000001hjrAAA","0056g000003hlBjAAI","","Other","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","220.0","","false","a1f6g0000001hjrAAA","false","false","false","false","",""
"a1f6g0000001hjsAAA","0056g000003hlBjAAI","","Friend","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","70.0","","false","a1f6g0000001hjsAAA","false","false","false","false","",""
"a1f6g0000001hjtAAA","0056g000003hlBjAAI","","Related","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","230.0","","false","a1f6g0000001hjtAAA","false","false","false","false","",""
"a1f6g0000001hjuAAA","0056g000003hlBjAAI","","Competitor","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","210.0","","false","a1f6g0000001hjuAAA","false","false","false","false","",""
"a1f6g0000001hjvAAA","0056g000003hlBjAAI","","Business Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","160.0","","false","a1f6g0000001hjvAAA","false","false","false","false","",""
"a1f6g0000001hjwAAA","0056g000003hlBjAAI","","Life Partner","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-20T14:06:00.000Z","0054v00000EIZAcAAP","","","","","","","true","60.0","","false","a1f6g0000001hjwAAA","false","false","false","false","",""
