"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z6g0000005pWiAAI","0056g000003hlBjAAI","","O-000033","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soZAAQ","","","false"
"a2z6g0000005pWjAAI","0056g000003hlBjAAI","","O-000041","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soaAAA","","","false"
"a2z6g0000005pWkAAI","0056g000003hlBjAAI","","O-000034","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soZAAQ","","","false"
"a2z6g0000005pWlAAI","0056g000003hlBjAAI","","O-000036","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sobAAA","","","false"
"a2z6g0000005pWmAAI","0056g000003hlBjAAI","","O-000038","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001socAAA","","","false"
"a2z6g0000005pWnAAI","0056g000003hlBjAAI","","O-000040","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sodAAA","","","false"
"a2z6g0000005pWoAAI","0056g000003hlBjAAI","","O-000043","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soeAAA","","","false"
"a2z6g0000005pWpAAI","0056g000003hlBjAAI","","O-000044","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sofAAA","","","false"
"a2z6g0000005pWqAAI","0056g000003hlBjAAI","","O-000046","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sogAAA","","","false"
"a2z6g0000005pWrAAI","0056g000003hlBjAAI","","O-000048","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sohAAA","","","false"
"a2z6g0000005pWsAAI","0056g000003hlBjAAI","","O-000049","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sohAAA","","","false"
"a2z6g0000005pWtAAI","0056g000003hlBjAAI","","O-000045","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sofAAA","","","false"
"a2z6g0000005pWuAAI","0056g000003hlBjAAI","","O-000037","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001socAAA","","","false"
"a2z6g0000005pWvAAI","0056g000003hlBjAAI","","O-000091","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked HMDA Reportable","1.0","a306g0000001soiAAA","","","false"
"a2z6g0000005pWwAAI","0056g000003hlBjAAI","","O-000093","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked as an Employee Loan","1.0","a306g0000001sojAAA","","","false"
"a2z6g0000005pWxAAI","0056g000003hlBjAAI","","O-000089","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sokAAA","","","false"
"a2z6g0000005pWyAAI","0056g000003hlBjAAI","","O-000050","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001solAAA","","","false"
"a2z6g0000005pWzAAI","0056g000003hlBjAAI","","O-000095","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, this record will be marked Reg W Reportable","1.0","a306g0000001somAAA","","","false"
"a2z6g0000005pX0AAI","0056g000003hlBjAAI","","O-000077","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sonAAA","","","false"
"a2z6g0000005pX1AAI","0056g000003hlBjAAI","","O-000079","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sooAAA","","","false"
"a2z6g0000005pX2AAI","0056g000003hlBjAAI","","O-000080","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sopAAA","","","false"
"a2z6g0000005pX3AAI","0056g000003hlBjAAI","","O-000082","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soqAAA","","","false"
"a2z6g0000005pX4AAI","0056g000003hlBjAAI","","O-000084","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sorAAA","","","false"
"a2z6g0000005pX5AAI","0056g000003hlBjAAI","","O-000097","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, the record will be marked CRA Reportable.","1.0","a306g0000001sosAAA","","","false"
"a2z6g0000005pX6AAI","0056g000003hlBjAAI","","O-000065","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","None of the above","4.0","a306g0000001sotAAA","","","false"
"a2z6g0000005pX7AAI","0056g000003hlBjAAI","","O-000067","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001souAAA","","","false"
"a2z6g0000005pX8AAI","0056g000003hlBjAAI","","O-000069","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sovAAA","","","false"
"a2z6g0000005pX9AAI","0056g000003hlBjAAI","","O-000073","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sowAAA","","","false"
"a2z6g0000005pXAAAY","0056g000003hlBjAAI","","O-000071","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soxAAA","","","false"
"a2z6g0000005pXBAAY","0056g000003hlBjAAI","","O-000074","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes, the loan is HVCRE reportable.","1.0","a306g0000001soyAAA","","","false"
"a2z6g0000005pXCAAY","0056g000003hlBjAAI","","O-000088","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes - By selecting this option, the loan will be marked Reg O Reportable.","1.0","a306g0000001sokAAA","","","false"
"a2z6g0000005pXDAAY","0056g000003hlBjAAI","","O-000218","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sp8AAA","","","false"
"a2z6g0000005pXEAAY","0056g000003hlBjAAI","","O-000090","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes, this loan IS NOT HMDA Reportable","1.0","a306g0000001sp9AAA","","","false"
"a2z6g0000005pXFAAY","0056g000003hlBjAAI","","O-000094","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sojAAA","","","false"
"a2z6g0000005pXGAAY","0056g000003hlBjAAI","","O-000217","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sp8AAA","","","false"
"a2z6g0000005pXHAAY","0056g000003hlBjAAI","","O-000035","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sobAAA","","","false"
"a2z6g0000005pXIAAY","0056g000003hlBjAAI","","O-000039","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sodAAA","","","false"
"a2z6g0000005pXJAAY","0056g000003hlBjAAI","","O-000042","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soaAAA","","","false"
"a2z6g0000005pXKAAY","0056g000003hlBjAAI","","O-000047","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sogAAA","","","false"
"a2z6g0000005pXLAAY","0056g000003hlBjAAI","","O-000051","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001solAAA","","","false"
"a2z6g0000005pXMAAY","0056g000003hlBjAAI","","O-000052","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spAAAQ","","","false"
"a2z6g0000005pXNAAY","0056g000003hlBjAAI","","O-000053","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spAAAQ","","","false"
"a2z6g0000005pXOAAY","0056g000003hlBjAAI","","O-000054","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spBAAQ","","","false"
"a2z6g0000005pXPAAY","0056g000003hlBjAAI","","O-000055","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spBAAQ","","","false"
"a2z6g0000005pXQAAY","0056g000003hlBjAAI","","O-000056","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spCAAQ","","","false"
"a2z6g0000005pXRAAY","0056g000003hlBjAAI","","O-000057","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spCAAQ","","","false"
"a2z6g0000005pXSAAY","0056g000003hlBjAAI","","O-000058","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spDAAQ","","","false"
"a2z6g0000005pXTAAY","0056g000003hlBjAAI","","O-000059","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spDAAQ","","","false"
"a2z6g0000005pXUAAY","0056g000003hlBjAAI","","O-000062","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","A 1-4 Family Residence","1.0","a306g0000001sotAAA","","","false"
"a2z6g0000005pXVAAY","0056g000003hlBjAAI","","O-000063","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","A Community Development Project","2.0","a306g0000001sotAAA","","","false"
"a2z6g0000005pXWAAY","0056g000003hlBjAAI","","O-000064","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Agricultural Land Purchased for Development","3.0","a306g0000001sotAAA","","","false"
"a2z6g0000005pXXAAY","0056g000003hlBjAAI","","O-000066","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001souAAA","","","false"
"a2z6g0000005pXYAAY","0056g000003hlBjAAI","","O-000068","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sovAAA","","","false"
"a2z6g0000005pXZAAY","0056g000003hlBjAAI","","O-000070","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001soxAAA","","","false"
"a2z6g0000005pXaAAI","0056g000003hlBjAAI","","O-000072","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sowAAA","","","false"
"a2z6g0000005pXbAAI","0056g000003hlBjAAI","","O-000075","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes, this Loan is not HVCRE reportable.","1.0","a306g0000001spFAAQ","","","false"
"a2z6g0000005pXcAAI","0056g000003hlBjAAI","","O-000076","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sonAAA","","","false"
"a2z6g0000005pXdAAI","0056g000003hlBjAAI","","O-000078","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001sooAAA","","","false"
"a2z6g0000005pXeAAI","0056g000003hlBjAAI","","O-000081","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sopAAA","","","false"
"a2z6g0000005pXfAAI","0056g000003hlBjAAI","","O-000083","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soqAAA","","","false"
"a2z6g0000005pXgAAI","0056g000003hlBjAAI","","O-000085","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001sorAAA","","","false"
"a2z6g0000005pXhAAI","0056g000003hlBjAAI","","O-000086","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spGAAQ","","","false"
"a2z6g0000005pXiAAI","0056g000003hlBjAAI","","O-000092","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001soiAAA","","","false"
"a2z6g0000005pXjAAI","0056g000003hlBjAAI","","O-000096","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001somAAA","","","false"
"a2z6g0000005pXkAAI","0056g000003hlBjAAI","","O-000098","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","0-3 a year","1.0","a306g0000001spHAAQ","366203873389331454","","false"
"a2z6g0000005pXlAAI","0056g000003hlBjAAI","","O-000099","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","4-7 a year","2.0","a306g0000001spHAAQ","621556760902086719","","false"
"a2z6g0000005pXmAAI","0056g000003hlBjAAI","","O-000100","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","more than 7 a year","3.0","a306g0000001spHAAQ","050569214661068497","","false"
"a2z6g0000005pXnAAI","0056g000003hlBjAAI","","O-000101","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Yes","1.0","a306g0000001spIAAQ","961370989806508364","","false"
"a2z6g0000005pXoAAI","0056g000003hlBjAAI","","O-000102","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spIAAQ","074917594827493192","","false"
"a2z6g0000005pXpAAI","0056g000003hlBjAAI","","O-000103","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","ATM","1.0","a306g0000001spJAAQ","072559575054128919","","false"
"a2z6g0000005pXqAAI","0056g000003hlBjAAI","","O-000108","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Online banking","6.0","a306g0000001spJAAQ","781465782898796488","","false"
"a2z6g0000005pXrAAI","0056g000003hlBjAAI","","O-000126","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Provider's web sites","7.0","a306g0000001spLAAQ","336995073534355081","","false"
"a2z6g0000005pXsAAI","0056g000003hlBjAAI","","O-000104","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Text or SMS","2.0","a306g0000001spJAAQ","704751626503713071","","false"
"a2z6g0000005pXtAAI","0056g000003hlBjAAI","","O-000105","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Balance alerts","3.0","a306g0000001spJAAQ","394644132859600753","","false"
"a2z6g0000005pXuAAI","0056g000003hlBjAAI","","O-000106","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Mobile banking","4.0","a306g0000001spJAAQ","827475087527199974","","false"
"a2z6g0000005pXvAAI","0056g000003hlBjAAI","","O-000107","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Bank 800 number","5.0","a306g0000001spJAAQ","975948538036641796","","false"
"a2z6g0000005pXwAAI","0056g000003hlBjAAI","","O-000109","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","3rd party finance site","7.0","a306g0000001spJAAQ","807177909759060609","","false"
"a2z6g0000005pXxAAI","0056g000003hlBjAAI","","O-000110","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Paper statements","8.0","a306g0000001spJAAQ","302010551193459089","","false"
"a2z6g0000005pXyAAI","0056g000003hlBjAAI","","O-000111","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Other","9.0","a306g0000001spJAAQ","467425857282544573","","false"
"a2z6g0000005pXzAAI","0056g000003hlBjAAI","","O-000112","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Cash","1.0","a306g0000001spKAAQ","800220780409658520","","false"
"a2z6g0000005pY0AAI","0056g000003hlBjAAI","","O-000113","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Check","2.0","a306g0000001spKAAQ","730947945060674094","","false"
"a2z6g0000005pY1AAI","0056g000003hlBjAAI","","O-000114","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Credit Card","3.0","a306g0000001spKAAQ","630111282532492432","","false"
"a2z6g0000005pY2AAI","0056g000003hlBjAAI","","O-000115","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Debit Card","4.0","a306g0000001spKAAQ","985963149292276196","","false"
"a2z6g0000005pY3AAI","0056g000003hlBjAAI","","O-000116","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Mobile Payments","5.0","a306g0000001spKAAQ","125126953088012838","","false"
"a2z6g0000005pY4AAI","0056g000003hlBjAAI","","O-000117","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","PayPal","6.0","a306g0000001spKAAQ","180309237267020162","","false"
"a2z6g0000005pY5AAI","0056g000003hlBjAAI","","O-000118","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Store credit card","7.0","a306g0000001spKAAQ","526801183900370401","","false"
"a2z6g0000005pY6AAI","0056g000003hlBjAAI","","O-000119","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Other","8.0","a306g0000001spKAAQ","138033035995561872","","false"
"a2z6g0000005pY7AAI","0056g000003hlBjAAI","","O-000120","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Automatic payments","1.0","a306g0000001spLAAQ","938285531176439124","","false"
"a2z6g0000005pY8AAI","0056g000003hlBjAAI","","O-000121","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Cash","2.0","a306g0000001spLAAQ","786099429597010052","","false"
"a2z6g0000005pY9AAI","0056g000003hlBjAAI","","O-000122","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Checks","3.0","a306g0000001spLAAQ","407731918220304136","","false"
"a2z6g0000005pYAAAY","0056g000003hlBjAAI","","O-000123","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Credit card","4.0","a306g0000001spLAAQ","551567321107884636","","false"
"a2z6g0000005pYBAAY","0056g000003hlBjAAI","","O-000154","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","No","2.0","a306g0000001spRAAQ","616489636026228465","","false"
"a2z6g0000005pYCAAY","0056g000003hlBjAAI","","O-000124","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Debit card","5.0","a306g0000001spLAAQ","093943846332776360","","false"
